"Назва фільму","Рейтинг","Слоган","Дата выхода","Страна","Режиссер","Жанр","В качестве","В переводе","Возраст","Время","Из серии"
"Гарри Поттер и Дары Смерти: Часть I","IMDb: 7.7 (572 975)
Кинопоиск: 7.89 (465 467)","«Опасность повсюду»","11 ноября 2010 года","Великобритания, США","Дэвид Йейтс","Боевики, Приключения, Детективы, Фэнтези, Зарубежные","720p","Дубляж, Сербин, Украинский дубляж, Казахский многоголосый и Оригинал (+субтитры)","16+ для более зрелых и понимающих","146 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию, Фильмы про приключения и путешествия"
"Гарри Поттер и Дары Смерти: Часть II","IMDb: 8.1 (909 231)
Кинопоиск: 8.15 (563 642)","«Все закончится»","7 июля 2011 года","США, Великобритания","Дэвид Йейтс","Приключения, Детективы, Фэнтези, Зарубежные","720p","Дубляж, Сербин, Украинский дубляж, Казахский многоголосый и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты","130 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию, Фильмы про приключения и путешествия"
"Гарри Поттер и философский камень","IMDb: 7.6 (817 021)
Кинопоиск: 8.26 (894 372)","«Путешествие в твою мечту»","4 ноября 2001 года","Великобритания, США","Крис Коламбус","Фэнтези, Приключения, Зарубежные","720p","Дубляж, Дубляж (режиссёрская версия), Карусель, С.Р.И, Сербин, Дольский, Визгунов, Гланц, Рябов, Украинский дубляж, Украинский (1+1), Украинский (Новый канал), Казахский дубляж, Оригинал (+субтитры) и Оригинал (+субтитры) (режиссёрская версия)","12+ взрослые темы и понятия, но темы не раскрыты","152 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию, Фильмы про приключения и путешествия"
"Гарри Поттер и Тайная комната","IMDb: 7.4 (662 314)
Кинопоиск: 8.12 (596 019)","«Зло вернулось в Хогвартс»","3 ноября 2002 года","США, Великобритания, Германия","Крис Коламбус","Фэнтези, Приключения, Детективы, Семейные, Зарубежные","720p","Дубляж, Дубляж (режиссёрская версия), С.Р.И, Сербин, Сербин (режиссёрская версия), Володарский (режиссёрская версия), Гланц, Украинский дубляж, Украинский (1+1), Украинский (Новый канал), Казахский дубляж, Оригинал (+субтитры) и Оригинал (+субтитры) (режиссёрская версия)","12+ взрослые темы и понятия, но темы не раскрыты","161 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию, Фильмы про приключения и путешествия"
"Гарри Поттер и узник Азкабана","IMDb: 7.9 (658 873)
Кинопоиск: 8.22 (614 192)","«Всё изменится»","23 мая 2004 года","Великобритания, США","Альфонсо Куарон","Фэнтези, Детективы, Приключения, Семейные, Зарубежные","720p","Дубляж, Кравец, Tycoon, С.Р.И, Одноголосый закадровый, Сербин, Украинский дубляж, Украинский (1+1), Украинский (Новый канал), Украинский (К1), Казахский дубляж и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты","142 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию, Фильмы про приключения и путешествия"
"Гарри Поттер и Кубок огня","IMDb: 7.7 (650 002)
Кинопоиск: 7.95 (509 884)","«Впереди темные и страшные времена»","6 ноября 2005 года","Великобритания, США","Майк Ньюэлл","Фэнтези, Приключения, Детективы, Семейные, Зарубежные","720p","Дубляж, Tycoon, Сербин, Володарский, Гланц, Рябов, Украинский дубляж, Украинский (Интер), Украинский (Новый канал), Казахский дубляж и Оригинал (+субтитры)","16+ для более зрелых и понимающих","157 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию"
"Гарри Поттер и Орден Феникса","IMDb: 7.5 (606 437)
Кинопоиск: 7.83 (483 584)","«Выжить суждено только одному»","28 июня 2007 года","Великобритания, США","Дэвид Йейтс","Фэнтези, Приключения, Детективы, Семейные, Зарубежные","720p","Дубляж, Одноголосый закадровый, Гланц, Рябов, Украинский дубляж, Украинский (Новый канал), Казахский многоголосый и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты","138 мин.","Лучшие экранизации литературных произведений, Фильмы про дружбу, Фильмы про магию"
"Гарри Поттер и Принц-полукровка","IMDb: 7.6 (567 754)
Кинопоиск: 7.82 (473 287)","«Секрет темных сил раскрыт»","6 июля 2009 года","Великобритания, США","Дэвид Йейтс","Фэнтези, Детективы, Приключения, Семейные, Зарубежные","720p","Дубляж, Сербин, Украинский дубляж, Украинский (Новый канал), Казахский многоголосый и Оригинал (+субтитры)","12+ взрослые темы и понятия, но темы не раскрыты","153 мин.","Лучшие экранизации литературных произведений, Фильмы про магию, Фильмы про приключения и путешествия"
"Гарри Поттер: История магии","IMDb: 7.0 (404)
Кинопоиск: 6.72 (1 316)","«Празднование 20-й годовщины первой книги о Гарри Поттере с кадрами из выставки «Гарри Поттер: История магии», организованной Британской библиотекой»","25 декабря 2017 года","Великобритания","Алекс Хардинг, Джуд Хо","Документальные, Зарубежные","720p","Двухголосый закадровый и Любительский","##","59 мин.","Фильмы 2017 года, Фильмы про писателей"
"Гарри Поттер: Турнир факультетов Хогвартса / Гарри Поттер: Битва факультетов","IMDb: 4.8 (1 804)","##","28 ноября 2021 года","США","Кэрри Гавел","Реальное ТВ, Зарубежные","720p","##","##","45 мин.","Сериалы 2021 года"
"Гарри Поттер 20 лет спустя: Возвращение в Хогвартс","IMDb: 8.0 (44 563)
Кинопоиск: 8.07 (252 502)","«Добро пожаловать туда, где зародилась магия»","1 января 2022 года","Великобритания, США","Эрен Криви, Джо Перлман, Джорджо Тести","Документальные, Семейные, Зарубежные","720p","Амедиа (Amedia), Цікава Ідея и Оригинал (+субтитры)","16+ для более зрелых и понимающих","103 мин.","Фильмы 2021 года, Фильмы HBO"
